,formula,ionConv,eleConv,fenergy(ev),nofsA,nofsB,nofsC,H,H_per,ratioA,ratioB,ratioC
541,Ti3 V2 Cu1,TRUE,TRUE,-44.41854079 eV,3,2,1,0.17615085999999947,0.029358476666666578,0.5,0.3333,0.1667
542,Ti2 V3 Cu1,TRUE,TRUE,-45.77770081 eV,2,3,1,0.07648593000000714,0.01274765500000119,0.3333,0.5,0.1667
543,Ti2 V2 Cu2,TRUE,TRUE,-40.20406094 eV,2,2,2,0.3376802200000055,0.05628003666666759,0.3333,0.3333,0.3333
544,Ti2 V1 Cu3,TRUE,TRUE,-34.96716152 eV,2,1,3,0.2621340600000046,0.04368901000000077,0.3333,0.1667,0.5
545,Ti1 V1 Cu2,FALSE,TRUE,-23.79662866 eV,1,1,2,0.10940009000000206,0.027350022500000515,0.25,0.25,0.5
546,Ti2 V2 Cu2,TRUE,TRUE,-40.1238291 eV,2,2,2,0.4179120600000017,0.06965201000000028,0.3333,0.3333,0.3333
547,Ti1 V1 Cu4,TRUE,TRUE,-30.63666956 eV,1,1,4,0.5396755300000002,0.0899459216666667,0.1667,0.1667,0.6667
548,Ti2 V1 Cu3,TRUE,TRUE,-34.96321793 eV,2,1,3,0.2660776500000033,0.044346275000000546,0.3333,0.1667,0.5
549,Ti2 V2 Cu2,TRUE,TRUE,-40.42966506 eV,2,2,2,0.11207610000000567,0.018679350000000945,0.3333,0.3333,0.3333
550,Ti2 V2 Cu2,TRUE,TRUE,-40.04162063 eV,2,2,2,0.5001205300000064,0.08335342166666775,0.3333,0.3333,0.3333
551,Ti1 V4 Cu1,TRUE,TRUE,-46.83426293 eV,1,4,1,0.27941889999999914,0.04656981666666652,0.1667,0.6667,0.1667
552,Ti1 V1 Cu4,TRUE,TRUE,-30.54833429 eV,1,1,4,0.628010800000002,0.104668466666667,0.1667,0.1667,0.6667
553,Ti2 V1 Cu3,TRUE,TRUE,-35.13766532 eV,2,1,3,0.09163025999999874,0.015271709999999791,0.3333,0.1667,0.5
554,Ti2 V2 Cu2,TRUE,TRUE,-39.89900344 eV,2,2,2,0.6427377200000022,0.1071229533333337,0.3333,0.3333,0.3333
555,Ti4 V1 Cu1,TRUE,TRUE,-43.42894604 eV,4,1,1,-0.09374947999999828,-0.015624913333333046,0.6667,0.1667,0.1667
556,Ti2 V1 Cu2,TRUE,TRUE,-31.25390384 eV,2,1,2,0.34023357000000143,0.06804671400000029,0.4,0.2,0.4
557,Ti1 V2 Cu2,TRUE,TRUE,-32.11864387 eV,1,2,2,0.7349886300000028,0.14699772600000055,0.2,0.4,0.4
558,Ti2 V3 Cu1,TRUE,TRUE,-45.4124432 eV,2,3,1,0.4417435400000076,0.0736239233333346,0.3333,0.5,0.1667
559,Ti3 V1 Cu2,TRUE,TRUE,-39.23840457 eV,3,1,2,0.04384150000000009,0.007306916666666681,0.5,0.1667,0.3333
560,Ti3 V2 Cu1,TRUE,TRUE,-44.83375615 eV,3,2,1,-0.23906449999999824,-0.03984408333333304,0.5,0.3333,0.1667
561,Ti1 V3 Cu2,TRUE,TRUE,-41.23668869 eV,1,3,2,0.5645475600000003,0.09409126000000005,0.1667,0.5,0.3333
562,Ti3 V1 Cu2,FALSE,TRUE,-39.41438532 eV,3,1,2,-0.1321392500000007,-0.02202320833333345,0.5,0.1667,0.3333
563,Ti2 V2 Cu2,TRUE,TRUE,-40.44180967 eV,2,2,2,0.09993149000000567,0.016655248333334278,0.3333,0.3333,0.3333
564,Ti2 V1 Cu3,TRUE,TRUE,-35.33139601 eV,2,1,3,-0.10210042999999658,-0.017016738333332764,0.3333,0.1667,0.5
565,Ti1 V4 Cu1,TRUE,TRUE,-46.83916456 eV,1,4,1,0.27451727000000004,0.04575287833333334,0.1667,0.6667,0.1667
566,Ti1 V2 Cu3,TRUE,TRUE,-35.54713317 eV,1,2,3,0.9416574999999998,0.15694291666666663,0.1667,0.3333,0.5
567,Ti2 V2 Cu2,TRUE,TRUE,-40.30431342 eV,2,2,2,0.23742774000000377,0.039571290000000627,0.3333,0.3333,0.3333
568,Ti2 V1 Cu3,TRUE,TRUE,-35.00539334 eV,2,1,3,0.22390224000000458,0.037317040000000766,0.3333,0.1667,0.5
569,Ti2 V3 Cu1,TRUE,TRUE,-45.17629716 eV,2,3,1,0.6778895800000089,0.11298159666666814,0.3333,0.5,0.1667
570,Ti2 V1 Cu3,TRUE,TRUE,-35.79207941 eV,2,1,3,-0.5627838299999972,-0.09379730499999954,0.3333,0.1667,0.5
571,Ti1 V4 Cu1,TRUE,TRUE,-46.66914777 eV,1,4,1,0.4445340599999983,0.07408900999999972,0.1667,0.6667,0.1667
572,Ti2 V1 Cu2,TRUE,TRUE,-31.1852317 eV,2,1,2,0.40890571000000175,0.08178114200000035,0.4,0.2,0.4
573,Ti2 V2 Cu2,TRUE,TRUE,-40.49621261 eV,2,2,2,0.04552855000000289,0.007588091666667148,0.3333,0.3333,0.3333
574,Ti2 V3 Cu1,TRUE,TRUE,-45.28806278 eV,2,3,1,0.566123960000009,0.09435399333333483,0.3333,0.5,0.1667
575,Ti3 V2 Cu1,TRUE,TRUE,-44.56564512 eV,3,2,1,0.02904653000000179,0.004841088333333632,0.5,0.3333,0.1667
576,Ti2 V1 Cu1,TRUE,TRUE,-27.94875216 eV,2,1,1,0.0102270799999995,0.002556769999999875,0.5,0.25,0.25
577,Ti1 V1 Cu3,TRUE,TRUE,-27.14746226 eV,1,1,3,0.39372466000000017,0.07874493200000003,0.2,0.2,0.6
578,Ti1 V1 Cu3,TRUE,TRUE,-27.51077223 eV,1,1,3,0.030414690000000633,0.006082938000000126,0.2,0.2,0.6
579,Ti2 V1 Cu3,TRUE,TRUE,-35.1897465 eV,2,1,3,0.03954908000000401,0.006591513333334002,0.3333,0.1667,0.5
580,Ti1 V3 Cu2,TRUE,TRUE,-41.3445229 eV,1,3,2,0.45671335000000024,0.0761188916666667,0.1667,0.5,0.3333
581,Ti1 V2 Cu2,TRUE,TRUE,-32.34049503 eV,1,2,2,0.5131374700000029,0.10262749400000057,0.2,0.4,0.4
582,Ti1 V2 Cu3,TRUE,TRUE,-35.81177566 eV,1,2,3,0.6770150099999999,0.11283583499999998,0.1667,0.3333,0.5
583,Ti1 V3 Cu2,TRUE,TRUE,-40.81882543 eV,1,3,2,0.9824108200000046,0.16373513666666742,0.1667,0.5,0.3333
584,Ti4 V1 Cu1,FALSE,TRUE,-43.26007254 eV,4,1,1,0.07512401999999829,0.012520669999999715,0.6667,0.1667,0.1667
585,Ti3 V2 Cu1,TRUE,TRUE,-44.2378304 eV,3,2,1,0.356861250000001,0.05947687500000017,0.5,0.3333,0.1667
586,Ti3 V2 Cu1,TRUE,TRUE,-44.09550275 eV,3,2,1,0.4991888999999996,0.08319814999999993,0.5,0.3333,0.1667
587,Ti2 V2 Cu2,TRUE,TRUE,-40.42244172 eV,2,2,2,0.11929944000000159,0.019883240000000264,0.3333,0.3333,0.3333
588,Ti1 V2 Cu1,TRUE,TRUE,-29.03923064 eV,1,2,1,0.17924369000000295,0.04481092250000074,0.25,0.5,0.25
589,Ti4 V1 Cu1,TRUE,TRUE,-43.15001702 eV,4,1,1,0.18517954000000136,0.030863256666666894,0.6667,0.1667,0.1667
590,Ti1 V4 Cu1,TRUE,TRUE,-46.6627077 eV,1,4,1,0.45097413000000186,0.0751623550000003,0.1667,0.6667,0.1667
591,Ti1 V2 Cu3,FALSE,TRUE,-36.1578997 eV,1,2,3,0.33089097000000045,0.055148495000000075,0.1667,0.3333,0.5
