POSCAR_FILE, formular, ion_conv, ele_conv, final_energy, out_dir
./str/POSCAR_S_9z1bc9ai.vasp, Ti1 V1 Cu4, True, True, -30.91666073 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_3Y0K3T
./str/POSCAR_S_5i4w4u03.vasp, Ti3 V1 Cu2, True, True, -39.04702052 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_C3ZF8Q
./str/POSCAR_S_pl1awm81.vasp, Ti2 V3 Cu1, True, True, -45.87132842 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_SG0G35
./str/POSCAR_S_ffejjn9q.vasp, Ti1 V4 Cu1, True, True, -46.54463555 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_EX5JNC
./str/POSCAR_S_wqklduws.vasp, Ti1 V2 Cu2, True, True, -32.55272374 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_G76GT8
./str/POSCAR_S_0p9bdd81.vasp, Ti2 V2 Cu1, True, True, -36.54781223 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_TZ5912
./str/POSCAR_S_i8km0vsm.vasp, Ti3 V1 Cu2, True, True, -39.30608526 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_F4F695
./str/POSCAR_S_5_ldenzr.vasp, Ti2 V2 Cu2, True, True, -40.46115594 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_KKAA61
./str/POSCAR_S_qoclsf0m.vasp, Ti1 V2 Cu3, True, True, -36.41534815 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_QQ39K7
./str/POSCAR_S_lj20ms3z.vasp, Ti1 V3 Cu2, True, True, -40.74488267 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_GW5Z2Z
./str/POSCAR_S_3vgm8eed.vasp, Ti2 V2 Cu2, False, True, -39.90938119 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_GMM1IJ
./str/POSCAR_S_efe97ahq.vasp, Ti2 V1 Cu1, True, True, -27.72561574 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_HHHNBX
./str/POSCAR_S_sy0b6_0_.vasp, Ti3 V1 Cu2, False, True, -39.28805646 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_BRY4HK
./str/POSCAR_S_6rzv0y3j.vasp, Ti1 V4 Cu1, True, True, -47.03777738 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_SFCGTS
./str/POSCAR_S_qebgm4e0.vasp, Ti3 V1 Cu1, False, True, -35.56317861 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_JDB0KV
./str/POSCAR_S_8h7_y39_.vasp, Ti2 V2 Cu2, True, True, -40.04147686 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_3UC8FZ
./str/POSCAR_S_g0f21he5.vasp, Ti3 V2 Cu1, True, True, -44.48189777 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_52R7VI
./str/POSCAR_S_c2ws3ucb.vasp, Ti3 V2 Cu1, True, True, -44.43466338 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_XQ33W7
./str/POSCAR_S_kw2cv5xt.vasp, Ti1 V3 Cu1, True, True, -37.99365779 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_K5YU6B
./str/POSCAR_S_yre0_g00.vasp, Ti2 V1 Cu1, True, True, -27.73372131 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_8RWNK9
./str/POSCAR_S_x_zb5x9g.vasp, Ti2 V1 Cu3, True, True, -34.9884849 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_9V28TI
./str/POSCAR_S_qymh67hc.vasp, Ti2 V2 Cu2, True, True, -39.55356217 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_QWCKKP
./str/POSCAR_S_safnynx9.vasp, Ti1 V3 Cu2, True, True, -41.29119235 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_56MPZ1
./str/POSCAR_S_anzy2yzu.vasp, Ti1 V1 Cu3, True, True, -27.03707636 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_8GKDIA
./str/POSCAR_S_u_eqc58_.vasp, Ti2 V1 Cu3, True, True, -35.19630105 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_M4E9IF
./str/POSCAR_S_zm44r2vg.vasp, Ti1 V3 Cu1, True, True, -37.81036426 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_E2WBQV
./str/POSCAR_S_22s31ii8.vasp, Ti2 V3 Cu1, True, True, -45.69815416 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_9XDJMC
./str/POSCAR_S_s5a9uyst.vasp, Ti3 V1 Cu2, True, True, -39.39894687 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_ZL4BHG
./str/POSCAR_S_fc0_h6lx.vasp, Ti1 V2 Cu1, True, True, -28.59558454 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_7A75Q8
./str/POSCAR_S_iv5s9y0s.vasp, Ti2 V2 Cu1, True, True, -36.82814039 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_1AJ3OR
./str/POSCAR_S_wz9wrot5.vasp, Ti2 V1 Cu3, True, True, -34.88059177 eV, /BIGDATA/xbyang_5/jsy/H_T/under6_VTiCu/vasp_tmp_ACSCRD
